name,place_id,lat,lon,rating,price_level,types
Steam Boat Restaurant - Moratuwa,ChIJr13NNwRF4joRzgbn1a8G6w4,6.7787283,79.8823286,4.1,2,"restaurant, food, point_of_interest, establishment"
God's Little Acre,ChIJD6IysAxF4joRbREeLsWPNos,6.7792429,79.8915437,4.0,2,"restaurant, lodging, food, point_of_interest, establishment"
Food Court K-Zone,ChIJk0aR_DxF4joRssFZ9nOPtPk,6.7961383,79.88793179999999,4.0,2,"restaurant, food, point_of_interest, establishment"
Mallika Bakers,ChIJ2f7aYzxF4joRsX3W4LDxCAI,6.798553,79.888761,3.8,1,"bakery, cafe, store, restaurant, food, point_of_interest, establishment"
King Taste Restaurant,ChIJgWfVaTxF4joRKTe1nZ8fBJg,6.7972323,79.88930189999999,3.8,2,"restaurant, food, point_of_interest, establishment"
Ayurveda Spring of Life,ChIJLT-CjkVF4joRxjkbmWMGqF0,6.8039039,79.905102,4.0,2,"lodging, restaurant, food, point_of_interest, spa, health, establishment"
P&S (Perera & Sons) - Soysapura,ChIJO3550C9F4joROxlN38K3rqI,6.805755599999999,79.8851619,4.1,2,"bakery, store, restaurant, food, point_of_interest, establishment"
Chinese Lotus Lux,ChIJY9FmSCRF4joRaQtHzlqfyeU,6.8006062,79.8817001,4.1,2,"lodging, meal_takeaway, bar, restaurant, food, point_of_interest, establishment"
KDU Clubhouse,ChIJobZ9nc1a4joRWNoXZazF51E,6.816919,79.8866685,4.4,2,"restaurant, food, point_of_interest, establishment"
P&S (Perera and Sons) - Piliyandala,ChIJm8k0x_ZP4joRKkuxiC65wsA,6.8007484,79.9237672,4.1,2,"bakery, store, restaurant, food, point_of_interest, establishment"
Las Brisas Lake Resort,ChIJM-S6sJpF4joRDYGmJC4AGlo,6.7630728,79.9074804,3.3,2,"restaurant, lodging, food, point_of_interest, establishment"
Raashi Lake Resort,ChIJ21QMgJhF4joRc5MzgOokqOs,6.764447199999999,79.89695549999999,3.3,2,"lodging, restaurant, food, point_of_interest, establishment"
P&S (Perera & Sons) - Bokundara,ChIJH1ltOKpa4joRz9RccRUQSV4,6.8190313,79.9173416,4.2,2,"bakery, store, restaurant, food, point_of_interest, establishment"
Red Balloon Family Restaurant - Piliyandala,ChIJIT2jbfJP4joRPAkLXZ5V0d4,6.797987,79.929676,4.0,2,"restaurant, food, point_of_interest, establishment"
Spisia - Piliyandala,ChIJeV4F0e1P4joRn-AIM6zyHkg,6.7997875,79.93337059999999,4.2,2,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Donâ€™s Global Exchange (Pvt) Ltd,ChIJd1I0O9la4joRTmRvZ59dkJk,6.8291444,79.8779615,4.0,2,"finance, restaurant, food, point_of_interest, establishment"
Chinese Dragon Cafe - Mount Lavinia,ChIJadvgSdxa4joRGC9NUvpXs30,6.8261179,79.86980659999999,4.3,2,"restaurant, food, point_of_interest, establishment"
Nithila Inn,ChIJaRKwS5VP4joR9a3tViIByAI,6.7942233,79.9407536,4.0,2,"restaurant, food, point_of_interest, establishment"
Grand 7 Hotel Kesbewa,ChIJP5uJb-pP4joRkz-nvpI0ptw,6.797715999999999,79.9410312,4.3,2,"restaurant, food, point_of_interest, establishment"
Blue Goodie Box,ChIJyR_yt91a4joRquboqpc_RWE,6.835038099999999,79.88158969999999,5.0,2,"bakery, store, restaurant, food, point_of_interest, establishment"
